Disease,Contagious,Cause_of_Disease,Medication_Required,Hospitalisation_Needed,Care_Recommendations,Chronic_Condition,Average_Recovery_Time_Weeks
Gestational Cholestasis,FALSE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",No,6
Injury to Internal Organ,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",No,8
Scabies,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Congenital Glaucoma,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Avoidant/Restrictive Food Intake Disorder (ARFID),FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Subdural hemorrhage,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Poisoning due to Antidepressants,FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Mittelschmerz,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Cornea Infection,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Myopia,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Abscess of the Lung,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Congenital rubella,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Intertrigo,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Insect Bites,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Complex Regional Pain Syndrome,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Anxiety,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Gastroesophageal Reflux Disease (GERD),FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Crushing Injury,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Cellulitis,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Anal Fissure,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",No,8
Neuropathic Pain,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Common Cold,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Food Allergy,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Pulmonary Fibrosis,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Hyperosmotic Hyperketotic State,TRUE,Insulin resistance or insufficient insulin production,Insulin or oral antidiabetic medication,No,"Follow a low-sugar balanced diet, exercise moderately, avoid sugary foods, monitor blood sugar regularly",Yes,12
Overflow Incontinence,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Abdominal Injury,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",No,8
Hirsutism,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Neuralgia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Warthin tumor,FALSE,Abnormal uncontrolled cell growth due to genetic and environmental factors,"Chemotherapy, targeted therapy, or pain management medication",Yes,"High-protein nutritious diet, regular follow-up care, avoid smoking and alcohol, limit strenuous activity during treatment",Yes,52
Presbycusis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Opioid Use Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Panic disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Esophageal Cancer,FALSE,Abnormal uncontrolled cell growth due to genetic and environmental factors,"Chemotherapy, targeted therapy, or pain management medication",Yes,"High-protein nutritious diet, regular follow-up care, avoid smoking and alcohol, limit strenuous activity during treatment",Yes,52
Alcohol Intoxication,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Pilonidal Cyst,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Gestational Diabetes,FALSE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",Yes,12
Drug Withdrawal,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Fetal Alcohol Syndrome,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Polycythemia Vera,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Osteoarthritis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Fracture of the Neck,FALSE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",No,8
Myoclonus,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Foreign Body in the Gastrointestinal Tract,TRUE,Physical trauma or accident,"Pain relievers, antibiotics, or surgery depending on severity",Yes,"Rest the affected area, consume protein and calcium-rich food, avoid heavy activity, and follow rehabilitation advice",Yes,12
Coronary Atherosclerosis,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Hypertensive Heart Disease,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Mumps,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Cholesteatoma,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Polycystic Kidney Disease,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Juvenile Rheumatoid Arthritis,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Hypospadias,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Parotid stones,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Achalasia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Rumination Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Bronchitis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Balanitis,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Ectopic Pregnancy,FALSE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",Yes,12
Atelectasis,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Anorexia Nervosa,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
