Disease,Symptoms,Medical_Test_Results,Possible_Patient_History,Lifestyle_Factors
Gestational Cholestasis,"Itchy skin, particularly on the hands and feet","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Injury to Internal Organ,"Abdominal pain, bleeding, organ dysfunction",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Scabies,"Intense itching, especially at night, small blisters or bumps",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Congenital Glaucoma,"Cloudy or hazy eyes, excessive tearing, sensitivity to light",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Avoidant/Restrictive Food Intake Disorder (ARFID),"Avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Subdural hemorrhage,"Headache, confusion, dizziness, nausea or vomiting, seizures, weakness or numbness",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Poisoning due to Antidepressants,"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Mittelschmerz,Lower abdominal pain and discomfort occurring around the time of ovulation,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Cornea Infection,"Eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Myopia,"Blurred distance vision, eyestrain, squinting",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Abscess of the Lung,"Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Congenital rubella,"Developmental delays, intellectual disability, hearing loss, vision problems, heart defects, liver or spleen enlargement, rash at birth","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Intertrigo,"Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Insect Bites,"Red, swollen, itchy bumps",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Complex Regional Pain Syndrome,"Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Anxiety,"Excessive worrying, restlessness, increased heart rate, panic attacks","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Gastroesophageal Reflux Disease (GERD),"Heartburn, acid reflux, chest pain","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Crushing Injury,"Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Cellulitis,"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Anal Fissure,"Pain during bowel movements, rectal bleeding",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Neuropathic Pain,"Shooting or burning pain, tingling or numbness",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Common Cold,"cough, sore throat, runny nose, sneezing",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Food Allergy,"Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hyperosmotic Hyperketotic State,"Increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Overflow Incontinence,"Frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Abdominal Injury,"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hirsutism,Excessive hair growth in women,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Neuralgia,"Sharp, shooting pain along the affected nerve",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Warthin tumor,"Painless lump or swelling, Facial changes",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Presbycusis,"Gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Opioid Use Disorder,"Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, muscle aches, anxiety) when attempting to stop or reduce use, tolerance to opioids, continued use despite negative consequences (such as legal issues, health problems)",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Panic disorder,"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Esophageal Cancer,"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Alcohol Intoxication,"Slurred speech, impaired coordination, confusion",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pilonidal Cyst,"Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Gestational Diabetes,High blood sugar levels during pregnancy,Hormonal changes and pregnancy-related blood test abnormalities,Current or previous pregnancy-related complications,"Poor nutrition, stress, lack of prenatal care"
Drug Withdrawal,"Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Fetal Alcohol Syndrome,"Growth deficiencies, facial abnormalities, developmental delays, intellectual disability",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Polycythemia Vera,"Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Osteoarthritis,"Joint pain, stiffness, swelling","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Fracture of the Neck,"Severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Myoclonus,"Sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Foreign Body in the Gastrointestinal Tract,"Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract","Reduced lung function tests, abnormal chest imaging, or oxygen saturation changes","History of allergies, smoking, recurrent breathing issues","Smoking, air pollution exposure, poor fitness, allergen exposure"
Coronary Atherosclerosis,"Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Hypertensive Heart Disease,"High blood pressure, chest pain or discomfort, shortness of breath, fatigue",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Mumps,"Swollen salivary glands (usually parotid), fever, headache, fatigue","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Cholesteatoma,"Ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Polycystic Kidney Disease,"Abdominal pain, high blood pressure, kidney cysts",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Juvenile Rheumatoid Arthritis,"Joint pain, swelling, stiffness, limited range of motion, fever, rash","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Hypospadias,"Abnormal positioning of the urethral opening on the underside of the penis, penile curvature, spraying of urine, difficulty in urination",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Parotid stones,"Swelling, pain, dry mouth, bad taste",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Achalasia,Difficulty swallowing,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Rumination Disorder,Repeated regurgitation and re-chewing of food,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Bronchitis,"Persistent cough with yellow or green mucus, chest congestion, fatigue",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
