User_ID,User_Text,Sentiment_Label,Recommended_Song_ID,Song_Name,Artist,Genre,Tempo (BPM),Mood,Energy,Danceability
U1,Way ball purpose public experience recently realize too.,Sad,S1,Someone Like You,Adele,Pop,67.0,Melancholic,Low,Low
U2,Save officer two myself a.,Happy,S2,Happy,Pharrell Williams,Pop,160.0,Joyful,High,High
U3,Decade ahead everyone environment themselves action health.,Relaxed,S3,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U4,Best change letter citizen try ask quality process.,Happy,S4,Happy,Pharrell Williams,Pop,160.0,Joyful,High,High
U5,Worker player chance kind actually.,Happy,S5,Happy,Pharrell Williams,Pop,160.0,Joyful,High,High
U6,Produce prove hot personal ago.,Motivated,S6,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U7,Culture soldier night never song dream.,Sad,S7,Someone Like You,Adele,Pop,67.0,Melancholic,Low,Low
U8,Expect order very.,Sad,S8,Someone Like You,Adele,Pop,67.0,Melancholic,Low,Low
U9,Clearly though film address stock Mr specific.,Motivated,S9,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U10,Market school sense expert blue mention nor risk.,Sad,S10,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U11,Until drive realize.,Motivated,S11,Stronger,Kanye West,Hip-Hop,130.0,Powerful,High,High
U12,Staff life identify.,Happy,S12,Uptown Funk,Bruno Mars,Funk,115.0,Energetic,High,High
U13,Present strong people add believe message sign.,Happy,S13,Uptown Funk,Bruno Mars,Funk,115.0,Energetic,High,High
U14,Left quality wish may lose forward right.,Sad,S14,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U15,Customer share score Republican marriage guy.,Relaxed,S15,Weightless,Marconi Union,Ambient,50.0,Calm,Low,Low
U16,Even hotel notice of condition.,Happy,S16,Happy,Pharrell Williams,Pop,160.0,Joyful,High,High
U17,Receive these like television.,Relaxed,S17,Weightless,Marconi Union,Ambient,50.0,Calm,Low,Low
U18,Policy school address or.,Sad,S18,Someone Like You,Adele,Pop,67.0,Melancholic,Low,Low
U19,Particular draw easy most across drive machine.,Relaxed,S19,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U20,Owner blood them.,Happy,S20,Uptown Funk,Bruno Mars,Funk,115.0,Energetic,High,High
U21,Safe education culture seven budget.,Happy,S21,Happy,Pharrell Williams,Pop,160.0,Joyful,High,High
U22,Water budget debate do bring gas magazine.,Relaxed,S22,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U23,When east business place strong him.,Motivated,S23,Stronger,Kanye West,Hip-Hop,130.0,Powerful,High,High
U24,Edge spring stand story life.,Sad,S24,Someone Like You,Adele,Pop,67.0,Melancholic,Low,Low
U25,Article control world admit.,Relaxed,S25,Weightless,Marconi Union,Ambient,50.0,Calm,Low,Low
U26,With score personal.,Motivated,S26,Stronger,Kanye West,Hip-Hop,130.0,Powerful,High,High
U27,Natural for growth performance.,Sad,S27,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U28,Wear food painting and.,Motivated,S28,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U29,South traditional certainly upon team.,Motivated,S29,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U30,Down see owner impact artist still.,Motivated,S30,Stronger,Kanye West,Hip-Hop,130.0,Powerful,High,High
U31,Enough fight lay arm.,Relaxed,S31,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U32,Condition language standard happy daughter cost west between.,Motivated,S32,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U33,As get together toward level yes member away.,Relaxed,S33,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U34,Put development threat house news direction our.,Motivated,S34,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U35,Its peace yet.,Happy,S35,Happy,Pharrell Williams,Pop,160.0,Joyful,High,High
U36,Once rather soldier family just.,Relaxed,S36,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U37,Enough police tree reflect peace.,Sad,S37,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U38,Him somebody statement project.,Relaxed,S38,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U39,Impact court its author.,Motivated,S39,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U40,Use coach hand western.,Relaxed,S40,Weightless,Marconi Union,Ambient,50.0,Calm,Low,Low
U41,Tonight government smile surface base party fire.,Sad,S41,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U42,Mother choose light particular ability ahead yourself.,Happy,S42,Uptown Funk,Bruno Mars,Funk,115.0,Energetic,High,High
U43,Total manager who leg hotel if language Mrs.,Sad,S43,Someone Like You,Adele,Pop,67.0,Melancholic,Low,Low
U44,Process already author she management require there help.,Sad,S44,Someone Like You,Adele,Pop,67.0,Melancholic,Low,Low
U45,Drive wait receive population.,Happy,S45,Uptown Funk,Bruno Mars,Funk,115.0,Energetic,High,High
U46,Truth art control attack development.,Happy,S46,Uptown Funk,Bruno Mars,Funk,115.0,Energetic,High,High
U47,Strategy sell drive already.,Relaxed,S47,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U48,Key traditional manager woman very Congress.,Relaxed,S48,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U49,House prepare tree ahead may special not teach.,Relaxed,S49,Weightless,Marconi Union,Ambient,50.0,Calm,Low,Low
U50,Down position help any contain easy girl.,Sad,S50,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U51,Wish point color produce product lead.,Relaxed,S51,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U52,Throughout read simple traditional whole better physical.,Motivated,S52,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U53,Rise interesting cultural fire think probably.,Happy,S53,Uptown Funk,Bruno Mars,Funk,115.0,Energetic,High,High
U54,Write they key on history already such movie.,Sad,S54,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U55,Treatment item four economy trade start.,Motivated,S55,Stronger,Kanye West,Hip-Hop,130.0,Powerful,High,High
U56,Cover class deep system guy forward point bill.,Sad,S56,Someone Like You,Adele,Pop,67.0,Melancholic,Low,Low
U57,Behind anyone production check side find care require.,Sad,S57,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U58,Force yet others certainly prove.,Happy,S58,Happy,Pharrell Williams,Pop,160.0,Joyful,High,High
U59,Inside would feeling year oil.,Sad,S59,Someone Like You,Adele,Pop,67.0,Melancholic,Low,Low
U60,Benefit million hold us management information.,Sad,S60,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U61,Expect through year first five.,Motivated,S61,Stronger,Kanye West,Hip-Hop,130.0,Powerful,High,High
U62,Sense teach understand agreement.,Sad,S62,Someone Like You,Adele,Pop,67.0,Melancholic,Low,Low
U63,Million stock each talk.,Relaxed,S63,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U64,Pay stage middle along trial international condition.,Motivated,S64,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U65,Us note value much.,Motivated,S65,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U66,Stock yard move ok.,Sad,S66,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U67,View perhaps sense put admit choose.,Relaxed,S67,Clair de Lune,Debussy,Classical,60.0,Soothing,Low,Low
U68,Sister address during true hospital.,Happy,S68,Happy,Pharrell Williams,Pop,160.0,Joyful,High,High
U69,Condition glass real check keep Congress.,Relaxed,S69,Weightless,Marconi Union,Ambient,50.0,Calm,Low,Low
U70,Lot behavior up save far health.,Motivated,S70,Stronger,Kanye West,Hip-Hop,130.0,Powerful,High,High
U71,Tax four buy on yeah culture model.,Happy,S71,Uptown Funk,Bruno Mars,Funk,115.0,Energetic,High,High
U72,Speak laugh shoulder maybe good.,Relaxed,S72,Weightless,Marconi Union,Ambient,50.0,Calm,Low,Low
U73,Decision past institution radio.,Relaxed,S73,Weightless,Marconi Union,Ambient,50.0,Calm,Low,Low
U74,Catch yard study moment whether science low.,Motivated,S74,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U75,Beat heavy read clear.,Happy,S75,Uptown Funk,Bruno Mars,Funk,115.0,Energetic,High,High
U76,Phone leg month.,Sad,S76,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U77,Drive memory campaign ask car man baby.,Happy,S77,Happy,Pharrell Williams,Pop,160.0,Joyful,High,High
U78,Might such eight source response.,Motivated,S78,Eye of the Tiger,Survivor,Rock,109.0,Energetic,High,Medium
U79,Professional occur clear wrong hotel after actually see.,Sad,S79,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U80,Effort local family receive.,Happy,S80,Uptown Funk,Bruno Mars,Funk,115.0,Energetic,High,High
U81,Step budget education scene yourself answer.,Sad,S81,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
U82,Her next they decade over.,Sad,S82,Fix You,Coldplay,Rock,75.0,Emotional,Low,Medium
